trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.6, 'e': 0.0919999999999998}",20,0,-2.8668825570382106,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.6, 'e': 0.0899999999999998}",20,0,-18.10283263640858,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.6, 'e': 0.0879999999999998}",30,0,-39.05498169978869,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
107,False,"{'a': 0.6, 'e': 0.0859999999999998}",20,7,23.027735579928166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.0839999999999998}",20,8,21.320799207415554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.0819999999999998}",30,3,50.94130059634966,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.0799999999999998}",20,0,-17.654449015069094,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.6, 'e': 0.07799999999999979}",30,7,28.785422526428743,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.07599999999999979}",20,14,9.870593785447818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.07399999999999979}",20,13,14.277888242182346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.07199999999999979}",30,21,15.534520789847225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.06999999999999978}",20,5,20.846059490062967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.06799999999999978}",20,8,18.361531216954923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.06599999999999978}",20,4,14.71480397411626,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
